shutdown_label,start_date,end_date,duration_days,full_or_partial,president,primary_dispute,estimated_cost_notes
"Early shutdowns (grouped)",1981-11-20,1990-10-09,2,full,Reagan / Bush,Various appropriations disputes,"13 shutdowns total, avg 2 days each, largest was 3 days. Most Americans unaware."
Nov 1995,1995-11-13,1995-11-19,5,full,Clinton,Budget / Medicare / Medicaid,est. $1.4 billion
Dec 1995-Jan 1996,1995-12-15,1996-01-06,21,full,Clinton,Budget / Medicare / education,est. $1.25 billion
Oct 2013,2013-10-01,2013-10-16,16,full,Obama,Affordable Care Act / debt ceiling,est. $24 billion (S&P)
Jan 2018,2018-01-20,2018-01-22,2,full,Trump,DACA / immigration,minimal
Feb 2018,2018-02-09,2018-02-09,1,full,Trump,Spending caps,minimal
Dec 2018-Jan 2019,2018-12-22,2019-01-25,35,full,Trump,Border wall funding,est. $11 billion (CBO)
Oct 2023,2023-09-30,2023-10-01,1,full,Biden,Appropriations,minimal
Oct-Nov 2025,2025-10-01,2025-11-12,43,full,Trump,FY2026 appropriations,"Longest full shutdown in U.S. history. ~900,000 furloughed. JPMorgan: -0.1% GDP per week."
Jan-Feb 2026,2026-01-31,2026-02-03,4,partial,Trump,Immigration reform / DHS funding,minimal
Feb-Apr 2026 (DHS only),2026-02-14,2026-04-30,76,partial,Trump,DHS funding / immigration reform,"Longest partial shutdown in U.S. history. DHS only."
